N, Time Bubble Rand, Time Bubble Ord, Time Bubble Rev, Time Bubble Uniq,Time Slow Rand,Time Slow Ord, Time Slow Rev, Time Slow Uniq, Time Fast Rand,Time Fast Ord, Time Fast Rev, Time Fast Uniq
2,6.43E-07,3.04E-07,4.75E-07,1.26E-06,5.78E-07,5.15E-07,4.81E-07,8.15E-07,1.30E-07,9.37E-08,6.76E-08,1.33E-07
4,1.53E-07,3.42E-07,1.43E-07,1.55E-07,4.12E-07,2.06E-07,8.49E-08,1.03E-06,2.47E-07,1.68E-07,1.18E-07,2.33E-07
8,3.42E-07,9.45E-08,1.50E-07,4.49E-07,3.08E-07,1.19E-07,1.63E-07,2.61E-07,5.35E-07,3.26E-07,2.91E-07,5.35E-07
16,1.14E-06,2.87E-07,4.86E-07,1.50E-06,8.97E-07,3.64E-07,5.46E-07,8.10E-07,1.49E-06,9.07E-07,7.17E-07,1.32E-06
32,3.67E-06,1.24E-06,1.87E-06,4.68E-06,2.73E-06,1.35E-06,1.83E-06,2.39E-06,3.55E-06,2.17E-06,1.84E-06,3.49E-06
64,1.17E-05,3.94E-06,7.32E-06,1.57E-05,9.15E-06,6.28E-06,7.13E-06,8.29E-06,8.64E-06,5.17E-06,4.62E-06,7.51E-06
128,3.68E-05,1.54E-05,2.72E-05,4.35E-05,3.31E-05,2.69E-05,2.76E-05,3.19E-05,1.93E-05,1.47E-05,1.17E-05,1.73E-05
256,1.24E-04,6.63E-05,1.02E-04,1.41E-04,1.36E-04,1.22E-04,2.28E-04,1.34E-04,4.36E-05,3.75E-05,3.19E-05,3.92E-05
512,4.24E-04,2.48E-04,4.38E-04,6.40E-04,5.47E-04,4.79E-04,7.72E-04,5.63E-04,1.00E-04,8.37E-05,7.57E-05,8.78E-05
1024,0.001631763,0.001051104,0.001653295,0.001688187,0.002029275,0.001982534,0.003106242,0.002069212,2.26E-04,1.83E-04,1.75E-04,1.82E-04
2048,0.006954358,0.004311365,0.00665193,0.006346592,0.008456502,0.008069592,0.008385275,0.008176196,4.95E-04,3.99E-04,3.80E-04,3.92E-04
4096,0.031668489,0.016386491,0.024952695,0.027952999,0.032647401,0.031020856,0.032570255,0.03193108,0.001047071,8.81E-04,8.21E-04,8.50E-04
8192,0.154936721,0.066527575,0.100696636,0.134877286,0.12882462,0.127616395,0.128856809,0.128142486,0.002332051,0.001875622,0.001751313,0.001796897
16384,0.830128388,0.276769993,0.404337973,0.621001241,0.51213543,0.513008739,0.516443835,0.521360001,0.005112696,0.004027996,0.003742991,0.003805996
32768,0,0,0,0,0,0,0,0,0.011495978,0.00839446,0.008173589,0.007968548
65536,0,0,0,0,0,0,0,0,0.026129043,0.017861735,0.017217648,0.016902169
131072,0,0,0,0,0,0,0,0,0.061572142,0.038854222,0.036572627,0.035320557
262144,0,0,0,0,0,0,0,0,0.180410165,0.082922159,0.081187852,0.076328125
524288,0,0,0,0,0,0,0,0,0.4755219,0.17488512,0.176076807,0.155479394
1048576,0,0,0,0,0,0,0,0,1.177343953,0.366037293,0.380901303,0.327094904
Size,Random,Ordered,Reverse Ord.,Unique Elements,Random,Ordered,Rev Ordered,Unique ,Random,Ordered,Rev Ordered,Unique Elements
2,1.60839E-07,7.60E-08,1.18627E-07,3.15175E-07,1.45E-07,1.28784E-07,1.20289E-07,2.03636E-07,3.25664E-08,1.55603E-07,1.12217E-07,2.21085E-07
